DATE,Median Sales Price for New Houses Sold,Real Private Residential Fixed Investment,Total Construction Spending- Residential,Monthly Supply of Houses in the United States,Homeownership Rate for the United States
2000-01-01,163500.0,,,4.3,67.1
2000-02-01,162400.0,,,4.3,
2000-03-01,165100.0,,,4.3,
2000-04-01,162600.0,,,4.4,67.3
2000-05-01,164700.0,,,4.4,
2000-06-01,160100.0,,,4.8,
2000-07-01,169000.0,,,4.1,67.5
2000-08-01,166600.0,,,4.4,
2000-09-01,171500.0,,,4.0,
2000-10-01,176300.0,,,4.0,67.5
2000-11-01,174700.0,,,4.2,
2000-12-01,162000.0,,,3.6,
2001-01-01,171300.0,,,3.8,67.6
2001-02-01,169100.0,,,3.7,
2001-03-01,166300.0,,,3.8,
2001-04-01,175200.0,,,3.9,67.8
2001-05-01,175300.0,,,4.0,
2001-06-01,179400.0,,,4.2,
2001-07-01,175000.0,,,4.2,67.9
2001-08-01,173700.0,,,4.4,
2001-09-01,166400.0,,,4.4,
2001-10-01,171300.0,,,4.3,67.9
2001-11-01,168100.0,,,4.1,
2001-12-01,180200.0,,,3.8,
2002-01-01,187100.0,675.867,382979.0,4.2,67.9
2002-02-01,191100.0,,391434.0,4.0,
2002-03-01,183400.0,,390942.0,4.1,
2002-04-01,187100.0,692.633,404255.0,4.3,67.8
2002-05-01,181000.0,,399164.0,4.0,
2002-06-01,190600.0,,407305.0,4.2,
2002-07-01,175600.0,694.662,410171.0,4.2,67.9
2002-08-01,178900.0,,404055.0,4.0,
2002-09-01,177500.0,,400059.0,3.9,
2002-10-01,189200.0,707.157,402091.0,4.0,68.2
2002-11-01,181200.0,,406609.0,4.0,
2002-12-01,197600.0,,416844.0,4.0,
2003-01-01,181700.0,720.182,423049.0,4.0,68.1
2003-02-01,187000.0,,422705.0,4.5,
2003-03-01,185100.0,,418232.0,4.1,
2003-04-01,189500.0,731.656,425493.0,4.1,68.2
2003-05-01,195500.0,,426270.0,3.9,
2003-06-01,187900.0,,436163.0,3.5,
2003-07-01,190200.0,773.589,454040.0,3.6,68.3
2003-08-01,190500.0,,458676.0,3.5,
2003-09-01,192000.0,,463954.0,3.8,
2003-10-01,194100.0,796.615,475234.0,3.8,68.5
2003-11-01,207100.0,,490441.0,4.1,
2003-12-01,196000.0,,508637.0,4.0,
2004-01-01,209500.0,805.874,503659.0,3.8,68.7
2004-02-01,219600.0,,505081.0,3.7,
2004-03-01,209600.0,,511829.0,3.6,
2004-04-01,222300.0,831.424,517912.0,4.0,69.4
2004-05-01,211700.0,,528180.0,3.8,
2004-06-01,215700.0,,533358.0,3.9,
2004-07-01,212400.0,837.354,549031.0,4.5,68.9
2004-08-01,218100.0,,557411.0,4.3,
2004-09-01,211600.0,,552375.0,4.1,
2004-10-01,229200.0,848.905,556425.0,3.9,69.1
2004-11-01,224500.0,,555944.0,4.3,
2004-12-01,229600.0,,571871.0,4.1,
2005-01-01,223100.0,868.948,581168.0,4.4,69.2
2005-02-01,237300.0,,594003.0,4.3,
2005-03-01,229300.0,,597200.0,4.1,
2005-04-01,236300.0,884.989,603975.0,4.3,68.7
2005-05-01,228300.0,,609170.0,4.2,
2005-06-01,226100.0,,622726.0,4.3,
2005-07-01,229200.0,894.69,634572.0,4.2,68.7
2005-08-01,240100.0,,639501.0,4.5,
2005-09-01,240400.0,,652748.0,4.7,
2005-10-01,243900.0,892.932,664407.0,4.5,68.9
2005-11-01,237900.0,,670757.0,5.0,
2005-12-01,238600.0,,676135.0,4.9,
2006-01-01,244900.0,884.566,681263.0,5.3,68.6
2006-02-01,250800.0,,684482.0,6.1,
2006-03-01,238800.0,,674457.0,5.9,
2006-04-01,257000.0,840.306,656899.0,6.3,68.8
2006-05-01,238200.0,,640049.0,6.2,
2006-06-01,243200.0,,621219.0,6.3,
2006-07-01,238100.0,793.783,604020.0,7.3,68.9
2006-08-01,243900.0,,590189.0,6.7,
2006-09-01,226700.0,,579753.0,6.7,
2006-10-01,250400.0,756.851,567752.0,7.3,68.8
2006-11-01,240100.0,,555299.0,6.6,
2006-12-01,244700.0,,551740.0,6.5,
2007-01-01,254400.0,722.749,544096.0,7.2,68.5
2007-02-01,250800.0,,538260.0,7.9,
2007-03-01,262600.0,,534655.0,7.9,
2007-04-01,242500.0,694.27,530749.0,7.4,68.3
2007-05-01,245000.0,,521499.0,7.8,
2007-06-01,235500.0,,513524.0,8.2,
2007-07-01,246200.0,650.137,503486.0,8.3,68.0
2007-08-01,236500.0,,488816.0,9.2,
2007-09-01,240300.0,,472995.0,9.2,
2007-10-01,234300.0,596.079,455045.0,8.5,67.8
2007-11-01,249100.0,,439144.0,9.4,
2007-12-01,227700.0,,423699.0,9.6,
2008-01-01,232400.0,548.658,409420.0,9.3,67.9
2008-02-01,245300.0,,393193.0,9.7,
2008-03-01,229300.0,,397469.0,10.5,
2008-04-01,246400.0,523.807,392801.0,10.3,68.1
2008-05-01,229300.0,,389335.0,10.7,
2008-06-01,234300.0,,382000.0,10.7,
2008-07-01,237300.0,497.233,372755.0,10.5,67.7
2008-08-01,221000.0,,360382.0,11.3,
2008-09-01,225200.0,,348206.0,10.9,
2008-10-01,213200.0,448.838,336824.0,11.6,67.5
2008-11-01,221600.0,,320284.0,11.4,
2008-12-01,229600.0,,301332.0,11.2,
2009-01-01,208600.0,405.314,291523.0,12.2,67.4
2009-02-01,209700.0,,276113.0,10.5,
2009-03-01,205100.0,,262528.0,11.0,
2009-04-01,219200.0,380.396,251235.0,10.7,67.4
2009-05-01,222300.0,,244399.0,9.3,
2009-06-01,214700.0,,245226.0,8.5,
2009-07-01,214200.0,398.07,252642.0,7.9,67.4
2009-08-01,207100.0,,258774.0,7.5,
2009-09-01,216600.0,,262509.0,7.8,
2009-10-01,215100.0,397.247,263232.0,7.4,67.2
2009-11-01,218800.0,,263973.0,7.6,
2009-12-01,222600.0,,264592.0,8.0,
2010-01-01,218200.0,384.436,263680.0,8.1,67.2
2010-02-01,221900.0,,263649.0,8.3,
2010-03-01,224800.0,,263220.0,7.1,
2010-04-01,208300.0,404.411,264593.0,6.2,66.9
2010-05-01,230500.0,,263020.0,9.3,
2010-06-01,219500.0,,261202.0,8.3,
2010-07-01,212100.0,368.573,254964.0,8.9,66.7
2010-08-01,226600.0,,249367.0,8.8,
2010-09-01,228000.0,,249015.0,7.6,
2010-10-01,204200.0,374.671,247981.0,8.2,66.5
2010-11-01,219600.0,,248808.0,8.2,
2010-12-01,241200.0,,248929.0,7.0,
2011-01-01,240100.0,373.402,250965.0,7.3,66.5
2011-02-01,220100.0,,249760.0,8.1,
2011-03-01,220500.0,,251180.0,7.2,
2011-04-01,224700.0,377.635,253897.0,6.7,66.0
2011-05-01,222000.0,,254629.0,6.6,
2011-06-01,240200.0,,256286.0,6.6,
2011-07-01,229900.0,384.44,257737.0,6.7,66.1
2011-08-01,219600.0,,259960.0,6.5,
2011-09-01,217000.0,,258293.0,6.3,
2011-10-01,224800.0,394.412,260305.0,6.0,65.9
2011-11-01,214300.0,,254401.0,5.7,
2011-12-01,218600.0,,255090.0,5.3,
2012-01-01,221700.0,418.273,259223.0,5.3,65.6
2012-02-01,239900.0,,254120.0,4.8,
2012-03-01,239800.0,,258662.0,4.9,
2012-04-01,236400.0,421.858,265032.0,4.9,65.6
2012-05-01,239200.0,,269833.0,4.7,
2012-06-01,232600.0,,275699.0,4.8,
2012-07-01,237400.0,432.693,279707.0,4.6,65.4
2012-08-01,253200.0,,285467.0,4.6,
2012-09-01,254600.0,,292076.0,4.5,
2012-10-01,247200.0,455.236,300200.0,4.9,65.3
2012-11-01,245000.0,,302823.0,4.6,
2012-12-01,258300.0,,305105.0,4.5,
2013-01-01,251500.0,471.762,309893.0,4.0,65.2
2013-02-01,265100.0,,314633.0,4.1,
2013-03-01,257500.0,,318708.0,4.2,
2013-04-01,279300.0,486.803,322768.0,4.4,65.1
2013-05-01,263700.0,,327919.0,4.6,
2013-06-01,259800.0,,330608.0,4.1,
2013-07-01,262200.0,495.514,334273.0,5.5,65.2
2013-08-01,255300.0,,341543.0,5.5,
2013-09-01,269800.0,,345327.0,5.4,
2013-10-01,264300.0,487.729,351749.0,4.9,65.1
2013-11-01,277100.0,,358973.0,5.0,
2013-12-01,275500.0,,366094.0,5.2,
2014-01-01,269800.0,484.319,372525.0,5.1,64.9
2014-02-01,268400.0,,369315.0,5.3,
2014-03-01,282300.0,,375258.0,5.6,
2014-04-01,274500.0,499.828,379989.0,5.7,64.8
2014-05-01,285600.0,,382391.0,5.2,
2014-06-01,287000.0,,376926.0,5.7,
2014-07-01,280400.0,507.133,376661.0,6.2,64.3
2014-08-01,291700.0,,378231.0,5.4,
2014-09-01,261500.0,,386668.0,5.4,
2014-10-01,297000.0,525.151,391098.0,5.3,63.9
2014-11-01,298300.0,,397603.0,5.7,
2014-12-01,301500.0,,407755.0,5.1,
2015-01-01,292000.0,535.483,412766.0,4.8,63.8
2015-02-01,286600.0,,418869.0,4.5,
2015-03-01,286600.0,,419989.0,5.1,
2015-04-01,294500.0,548.898,423395.0,4.9,63.5
2015-05-01,287500.0,,431943.0,5.0,
2015-06-01,285100.0,,438244.0,5.4,
2015-07-01,292300.0,563.696,444103.0,5.2,63.6
2015-08-01,293000.0,,445049.0,5.0,
2015-09-01,299500.0,,452916.0,5.9,
2015-10-01,298000.0,573.631,455257.0,5.6,63.7
2015-11-01,312600.0,,454074.0,5.5,
2015-12-01,297100.0,,460815.0,5.1,
2016-01-01,288400.0,592.962,464700.0,5.6,63.5
2016-02-01,305800.0,,465592.0,5.6,
2016-03-01,303200.0,,478810.0,5.5,
2016-04-01,318300.0,590.522,475632.0,5.1,63.1
2016-05-01,295200.0,,474981.0,5.2,
2016-06-01,311200.0,,478711.0,5.2,
2016-07-01,297400.0,587.366,481763.0,4.5,63.4
2016-08-01,298900.0,,485091.0,4.9,
2016-09-01,314800.0,,486805.0,5.2,
2016-10-01,302800.0,597.615,505164.0,5.1,63.5
2016-11-01,315000.0,,511112.0,5.2,
2016-12-01,327000.0,,521509.0,5.4,
2017-01-01,315200.0,614.387,520246.0,5.3,63.6
2017-02-01,298000.0,,543536.0,5.2,
2017-03-01,321700.0,,537448.0,5.0,
2017-04-01,311100.0,612.734,541329.0,5.5,63.9
2017-05-01,323600.0,,541342.0,5.3,
2017-06-01,315200.0,,540034.0,5.3,
2017-07-01,322900.0,610.093,546304.0,5.9,63.9
2017-08-01,314200.0,,545675.0,6.0,
2017-09-01,331500.0,,548076.0,5.3,
2017-10-01,319500.0,625.5,545984.0,5.5,64.0
2017-11-01,343400.0,,566922.0,4.9,
2017-12-01,343300.0,,575346.0,5.4,
2018-01-01,329600.0,620.315,582012.0,5.6,64.2
2018-02-01,327200.0,,592504.0,5.6,
2018-03-01,335400.0,,583579.0,5.4,
2018-04-01,314400.0,617.612,582427.0,5.7,64.5
2018-05-01,316700.0,,581631.0,5.5,
2018-06-01,310500.0,,570891.0,6.1,
2018-07-01,327500.0,609.123,562859.0,6.1,64.4
2018-08-01,321400.0,,553691.0,6.4,
2018-09-01,328300.0,,553579.0,6.5,
2018-10-01,328300.0,600.989,542175.0,7.2,64.6
2018-11-01,308500.0,,539913.0,6.5,
2018-12-01,329700.0,,528124.0,7.4,
2019-01-01,305400.0,598.397,534112.0,6.5,64.2
2019-02-01,320800.0,,529595.0,6.1,
2019-03-01,310600.0,,531409.0,5.8,
2019-04-01,339000.0,595.219,537129.0,6.1,64.3
2019-05-01,312700.0,,538074.0,6.7,
2019-06-01,311800.0,,544438.0,5.5,
2019-07-01,308300.0,601.944,550109.0,6.0,64.7
2019-08-01,327000.0,,559162.0,5.5,
2019-09-01,315700.0,,562791.0,5.3,
2019-10-01,322400.0,610.52,563877.0,5.5,64.9
2019-11-01,328000.0,,574079.0,5.6,
2019-12-01,329500.0,,579863.0,5.3,
2020-01-01,328900.0,637.624,596728.0,5.0,65.3
2020-02-01,331800.0,,600581.0,5.5,
2020-03-01,328200.0,,595963.0,6.5,
2020-04-01,310100.0,571.27,569892.0,6.8,68.1
2020-05-01,317100.0,,547787.0,5.3,
2020-06-01,341100.0,,562612.0,4.3,
2020-07-01,329800.0,645.478,584418.0,3.6,67.3
2020-08-01,325500.0,,624410.0,3.5,
2020-09-01,344400.0,,629972.0,3.6,
2020-10-01,346900.0,697.854,659365.0,3.5,65.6
2020-11-01,350800.0,,679699.0,4.1,
2020-12-01,356600.0,,713219.0,3.9,
