DATE,CPIAUCSL_NBD20000101
2000-01-01,100.00000
2000-02-01,100.41347
2000-03-01,101.00413
2000-04-01,100.94507
2000-05-01,101.12227
2000-06-01,101.71294
2000-07-01,102.00827
2000-08-01,102.00827
2000-09-01,102.53987
2000-10-01,102.71707
2000-11-01,102.89427
2000-12-01,103.13054
2001-01-01,103.72120
2001-02-01,103.95747
2001-03-01,104.01654
2001-04-01,104.19374
2001-05-01,104.72534
2001-06-01,104.96161
2001-07-01,104.78441
2001-08-01,104.78441
2001-09-01,105.19787
2001-10-01,104.90254
2001-11-01,104.84347
2001-12-01,104.78441
2002-01-01,104.96161
2002-02-01,105.13881
2002-03-01,105.43414
2002-04-01,105.90667
2002-05-01,106.02481
2002-06-01,106.08387
2002-07-01,106.32014
2002-08-01,106.61548
2002-09-01,106.79268
2002-10-01,107.02894
2002-11-01,107.20614
2002-12-01,107.38334
2003-01-01,107.85588
2003-02-01,108.44654
2003-03-01,108.62374
2003-04-01,108.21028
2003-05-01,108.03308
2003-06-01,108.15121
2003-07-01,108.50561
2003-08-01,108.97815
2003-09-01,109.33255
2003-10-01,109.21441
2003-11-01,109.27348
2003-12-01,109.56881
2004-01-01,110.04135
2004-02-01,110.27761
2004-03-01,110.51388
2004-04-01,110.69108
2004-05-01,111.16361
2004-06-01,111.57708
2004-07-01,111.69522
2004-08-01,111.75428
2004-09-01,112.10868
2004-10-01,112.69935
2004-11-01,113.23095
2004-12-01,113.23095
2005-01-01,113.17188
2005-02-01,113.64442
2005-03-01,114.05789
2005-04-01,114.41229
2005-05-01,114.35322
2005-06-01,114.41229
2005-07-01,115.12109
2005-08-01,115.82989
2005-09-01,117.42469
2005-10-01,117.60189
2005-11-01,117.01122
2005-12-01,117.01122
2006-01-01,117.72002
2006-02-01,117.77909
2006-03-01,117.95629
2006-04-01,118.54696
2006-05-01,118.90136
2006-06-01,119.19669
2006-07-01,119.84643
2006-08-01,120.37803
2006-09-01,119.78736
2006-10-01,119.25576
2006-11-01,119.31483
2006-12-01,119.96456
2007-01-01,120.16361
2007-02-01,120.62965
2007-03-01,121.25694
2007-04-01,121.62079
2007-05-01,122.12345
2007-06-01,122.40638
2007-07-01,122.62434
2007-08-01,122.66214
2007-09-01,123.18193
2007-10-01,123.56172
2007-11-01,124.53278
2007-12-01,124.89368
2008-01-01,125.32428
2008-02-01,125.62729
2008-03-01,126.07679
2008-04-01,126.36858
2008-05-01,127.11636
2008-06-01,128.44832
2008-07-01,129.36562
2008-08-01,129.17307
2008-09-01,129.28352
2008-10-01,128.17188
2008-11-01,125.90254
2008-12-01,124.86592
2009-01-01,125.18193
2009-02-01,125.63792
2009-03-01,125.51388
2009-04-01,125.64028
2009-05-01,125.82516
2009-06-01,126.86946
2009-07-01,126.83166
2009-08-01,127.25635
2009-09-01,127.50207
2009-10-01,127.88482
2009-11-01,128.31305
2009-12-01,128.37980
2010-01-01,128.46308
2010-02-01,128.34082
2010-03-01,128.38334
2010-04-01,128.41288
2010-05-01,128.34613
2010-06-01,128.29238
2010-07-01,128.53219
2010-08-01,128.72002
2010-09-01,128.92794
2010-10-01,129.37685
2010-11-01,129.70467
2010-12-01,130.22563
2011-01-01,130.64796
2011-02-01,131.06793
2011-03-01,131.74601
2011-04-01,132.36444
2011-05-01,132.78559
2011-06-01,132.78559
2011-07-01,133.13349
2011-08-01,133.55346
2011-09-01,133.84347
2011-10-01,133.93385
2011-11-01,134.18133
2011-12-01,134.21323
2012-01-01,134.57885
2012-02-01,134.86651
2012-03-01,135.14885
2012-04-01,135.37330
2012-05-01,135.09333
2012-06-01,134.98169
2012-07-01,135.02067
2012-08-01,135.80508
2012-09-01,136.45304
2012-10-01,136.82103
2012-11-01,136.59126
2012-12-01,136.57472
2013-01-01,136.84525
2013-02-01,137.58830
2013-03-01,137.20142
2013-04-01,136.91494
2013-05-01,136.97165
2013-06-01,137.29770
2013-07-01,137.56645
2013-08-01,137.89486
2013-09-01,137.94684
2013-10-01,138.02067
2013-11-01,138.27525
2013-12-01,138.64087
2014-01-01,138.97696
2014-02-01,139.12995
2014-03-01,139.41406
2014-04-01,139.67395
2014-05-01,139.93975
2014-06-01,140.12463
2014-07-01,140.28234
2014-08-01,140.25989
2014-09-01,140.26994
2014-10-01,140.24217
2014-11-01,139.97815
2014-12-01,139.54637
2015-01-01,138.65741
2015-02-01,139.00886
2015-03-01,139.38334
2015-04-01,139.52865
2015-05-01,139.98878
2015-06-01,140.37626
2015-07-01,140.59894
2015-08-01,140.59835
2015-09-01,140.28234
2015-10-01,140.42115
2015-11-01,140.58890
2015-12-01,140.43768
2016-01-01,140.37330
2016-02-01,140.18665
2016-03-01,140.62611
2016-04-01,141.16480
2016-05-01,141.49852
2016-06-01,141.89132
2016-07-01,141.81985
2016-08-01,142.08210
2016-09-01,142.45481
2016-10-01,142.78854
2016-11-01,142.95688
2016-12-01,143.31778
2017-01-01,143.89841
2017-02-01,144.04725
2017-03-01,143.98464
2017-04-01,144.28470
2017-05-01,144.16361
2017-06-01,144.25162
2017-07-01,144.28825
2017-08-01,144.83461
2017-09-01,145.62965
2017-10-01,145.69226
2017-11-01,146.11813
2017-12-01,146.32959
2018-01-01,146.91140
2018-02-01,147.25340
2018-03-01,147.38157
2018-04-01,147.82930
2018-05-01,148.13113
2018-06-01,148.34731
2018-07-01,148.46131
2018-08-01,148.69167
2018-09-01,148.95629
2018-10-01,149.37921
2018-11-01,149.33373
2018-12-01,149.13940
2019-01-01,149.10868
2019-02-01,149.42056
2019-03-01,150.11636
2019-04-01,150.81276
2019-05-01,150.83934
2019-06-01,150.87005
2019-07-01,151.16657
2019-08-01,151.28057
2019-09-01,151.52510
2019-10-01,152.03012
2019-11-01,152.38571
2019-12-01,152.51211
2020-01-01,152.79799
2020-02-01,152.87891
2020-03-01,152.38571
2020-04-01,151.32428
2020-05-01,151.17661
2020-06-01,151.96810
2020-07-01,152.74897
2020-08-01,153.28470
2020-09-01,153.66155
2020-10-01,153.84643
2020-11-01,154.12109
2020-12-01,154.49498
