DATE,MSPNHSUS
2000-01-01,163500
2000-02-01,162400
2000-03-01,165100
2000-04-01,162600
2000-05-01,164700
2000-06-01,160100
2000-07-01,169000
2000-08-01,166600
2000-09-01,171500
2000-10-01,176300
2000-11-01,174700
2000-12-01,162000
2001-01-01,171300
2001-02-01,169100
2001-03-01,166300
2001-04-01,175200
2001-05-01,175300
2001-06-01,179400
2001-07-01,175000
2001-08-01,173700
2001-09-01,166400
2001-10-01,171300
2001-11-01,168100
2001-12-01,180200
2002-01-01,187100
2002-02-01,191100
2002-03-01,183400
2002-04-01,187100
2002-05-01,181000
2002-06-01,190600
2002-07-01,175600
2002-08-01,178900
2002-09-01,177500
2002-10-01,189200
2002-11-01,181200
2002-12-01,197600
2003-01-01,181700
2003-02-01,187000
2003-03-01,185100
2003-04-01,189500
2003-05-01,195500
2003-06-01,187900
2003-07-01,190200
2003-08-01,190500
2003-09-01,192000
2003-10-01,194100
2003-11-01,207100
2003-12-01,196000
2004-01-01,209500
2004-02-01,219600
2004-03-01,209600
2004-04-01,222300
2004-05-01,211700
2004-06-01,215700
2004-07-01,212400
2004-08-01,218100
2004-09-01,211600
2004-10-01,229200
2004-11-01,224500
2004-12-01,229600
2005-01-01,223100
2005-02-01,237300
2005-03-01,229300
2005-04-01,236300
2005-05-01,228300
2005-06-01,226100
2005-07-01,229200
2005-08-01,240100
2005-09-01,240400
2005-10-01,243900
2005-11-01,237900
2005-12-01,238600
2006-01-01,244900
2006-02-01,250800
2006-03-01,238800
2006-04-01,257000
2006-05-01,238200
2006-06-01,243200
2006-07-01,238100
2006-08-01,243900
2006-09-01,226700
2006-10-01,250400
2006-11-01,240100
2006-12-01,244700
2007-01-01,254400
2007-02-01,250800
2007-03-01,262600
2007-04-01,242500
2007-05-01,245000
2007-06-01,235500
2007-07-01,246200
2007-08-01,236500
2007-09-01,240300
2007-10-01,234300
2007-11-01,249100
2007-12-01,227700
2008-01-01,232400
2008-02-01,245300
2008-03-01,229300
2008-04-01,246400
2008-05-01,229300
2008-06-01,234300
2008-07-01,237300
2008-08-01,221000
2008-09-01,225200
2008-10-01,213200
2008-11-01,221600
2008-12-01,229600
2009-01-01,208600
2009-02-01,209700
2009-03-01,205100
2009-04-01,219200
2009-05-01,222300
2009-06-01,214700
2009-07-01,214200
2009-08-01,207100
2009-09-01,216600
2009-10-01,215100
2009-11-01,218800
2009-12-01,222600
2010-01-01,218200
2010-02-01,221900
2010-03-01,224800
2010-04-01,208300
2010-05-01,230500
2010-06-01,219500
2010-07-01,212100
2010-08-01,226600
2010-09-01,228000
2010-10-01,204200
2010-11-01,219600
2010-12-01,241200
2011-01-01,240100
2011-02-01,220100
2011-03-01,220500
2011-04-01,224700
2011-05-01,222000
2011-06-01,240200
2011-07-01,229900
2011-08-01,219600
2011-09-01,217000
2011-10-01,224800
2011-11-01,214300
2011-12-01,218600
2012-01-01,221700
2012-02-01,239900
2012-03-01,239800
2012-04-01,236400
2012-05-01,239200
2012-06-01,232600
2012-07-01,237400
2012-08-01,253200
2012-09-01,254600
2012-10-01,247200
2012-11-01,245000
2012-12-01,258300
2013-01-01,251500
2013-02-01,265100
2013-03-01,257500
2013-04-01,279300
2013-05-01,263700
2013-06-01,259800
2013-07-01,262200
2013-08-01,255300
2013-09-01,269800
2013-10-01,264300
2013-11-01,277100
2013-12-01,275500
2014-01-01,269800
2014-02-01,268400
2014-03-01,282300
2014-04-01,274500
2014-05-01,285600
2014-06-01,287000
2014-07-01,280400
2014-08-01,291700
2014-09-01,261500
2014-10-01,297000
2014-11-01,298300
2014-12-01,301500
2015-01-01,292000
2015-02-01,286600
2015-03-01,286600
2015-04-01,294500
2015-05-01,287500
2015-06-01,285100
2015-07-01,292300
2015-08-01,293000
2015-09-01,299500
2015-10-01,298000
2015-11-01,312600
2015-12-01,297100
2016-01-01,288400
2016-02-01,305800
2016-03-01,303200
2016-04-01,318300
2016-05-01,295200
2016-06-01,311200
2016-07-01,297400
2016-08-01,298900
2016-09-01,314800
2016-10-01,302800
2016-11-01,315000
2016-12-01,327000
2017-01-01,315200
2017-02-01,298000
2017-03-01,321700
2017-04-01,311100
2017-05-01,323600
2017-06-01,315200
2017-07-01,322900
2017-08-01,314200
2017-09-01,331500
2017-10-01,319500.0
2017-11-01,343400.0
2017-12-01,343300.0
2018-01-01,329600.0
2018-02-01,327200.0
2018-03-01,335400.0
2018-04-01,314400.0
2018-05-01,316700.0
2018-06-01,310500.0
2018-07-01,327500.0
2018-08-01,321400.0
2018-09-01,328300.0
2018-10-01,328300.0
2018-11-01,308500.0
2018-12-01,329700.0
2019-01-01,305400.0
2019-02-01,320800.0
2019-03-01,310600.0
2019-04-01,339000.0
2019-05-01,312700.0
2019-06-01,311800.0
2019-07-01,308300.0
2019-08-01,327000.0
2019-09-01,315700.0
2019-10-01,322400.0
2019-11-01,328000.0
2019-12-01,329500.0
2020-01-01,328900.0
2020-02-01,331800.0
2020-03-01,328200.0
2020-04-01,310100.0
2020-05-01,317100.0
2020-06-01,341100.0
2020-07-01,329800.0
2020-08-01,325500.0
2020-09-01,344400.0
2020-10-01,346900.0
2020-11-01,350800.0
2020-12-01,356600.0
