DATE,UEMP27OV
2000-01-01,721
2000-02-01,629
2000-03-01,646
2000-04-01,599
2000-05-01,643
2000-06-01,627
2000-07-01,698
2000-08-01,709
2000-09-01,646
2000-10-01,627
2000-11-01,593
2000-12-01,642
2001-01-01,676
2001-02-01,714
2001-03-01,696
2001-04-01,712
2001-05-01,624
2001-06-01,710
2001-07-01,702
2001-08-01,857
2001-09-01,819
2001-10-01,909
2001-11-01,1106
2001-12-01,1126
2002-01-01,1203
2002-02-01,1214
2002-03-01,1330
2002-04-01,1457
2002-05-01,1574
2002-06-01,1641
2002-07-01,1584
2002-08-01,1573
2002-09-01,1580
2002-10-01,1653
2002-11-01,1743
2002-12-01,1924
2003-01-01,1760
2003-02-01,1864
2003-03-01,1798
2003-04-01,1927
2003-05-01,1929
2003-06-01,2100
2003-07-01,1972
2003-08-01,1995
2003-09-01,2014
2003-10-01,1959
2003-11-01,2006
2003-12-01,1931
2004-01-01,1911
2004-02-01,1856
2004-03-01,1983
2004-04-01,1805
2004-05-01,1799
2004-06-01,1847
2004-07-01,1681
2004-08-01,1640
2004-09-01,1702
2004-10-01,1737
2004-11-01,1702
2004-12-01,1653
2005-01-01,1648
2005-02-01,1628
2005-03-01,1660
2005-04-01,1609
2005-05-01,1538
2005-06-01,1375
2005-07-01,1380
2005-08-01,1407
2005-09-01,1439
2005-10-01,1422
2005-11-01,1370
2005-12-01,1356
2006-01-01,1170
2006-02-01,1350
2006-03-01,1309
2006-04-01,1331
2006-05-01,1333
2006-06-01,1145
2006-07-01,1304
2006-08-01,1306
2006-09-01,1245
2006-10-01,1078
2006-11-01,1131
2006-12-01,1093
2007-01-01,1141
2007-02-01,1249
2007-03-01,1245
2007-04-01,1206
2007-05-01,1132
2007-06-01,1143
2007-07-01,1291
2007-08-01,1246
2007-09-01,1264
2007-10-01,1298
2007-11-01,1374
2007-12-01,1324
2008-01-01,1388
2008-02-01,1329
2008-03-01,1323
2008-04-01,1372
2008-05-01,1561
2008-06-01,1576
2008-07-01,1664
2008-08-01,1866
2008-09-01,2027
2008-10-01,2280
2008-11-01,2219
2008-12-01,2610
2009-01-01,2699
2009-02-01,2999
2009-03-01,3260
2009-04-01,3752
2009-05-01,3973
2009-06-01,4349
2009-07-01,4917
2009-08-01,5037
2009-09-01,5494
2009-10-01,5643
2009-11-01,5908
2009-12-01,6122
2010-01-01,6319
2010-02-01,6129
2010-03-01,6545
2010-04-01,6800
2010-05-01,6638
2010-06-01,6623
2010-07-01,6506
2010-08-01,6259
2010-09-01,6163
2010-10-01,6227
2010-11-01,6326
2010-12-01,6429
2011-01-01,6175
2011-02-01,5892
2011-03-01,6105
2011-04-01,5925
2011-05-01,6153
2011-06-01,6271
2011-07-01,6195
2011-08-01,6048
2011-09-01,6304
2011-10-01,5838
2011-11-01,5698
2011-12-01,5586
2012-01-01,5476
2012-02-01,5242
2012-03-01,5236
2012-04-01,5132
2012-05-01,5401
2012-06-01,5409
2012-07-01,5210
2012-08-01,5042
2012-09-01,4911
2012-10-01,4988
2012-11-01,4805
2012-12-01,4768
2013-01-01,4681
2013-02-01,4691
2013-03-01,4563
2013-04-01,4468
2013-05-01,4347
2013-06-01,4355
2013-07-01,4258
2013-08-01,4296
2013-09-01,4132
2013-10-01,4024
2013-11-01,4042
2013-12-01,3863
2014-01-01,3607
2014-02-01,3783
2014-03-01,3704
2014-04-01,3479
2014-05-01,3360
2014-06-01,3116
2014-07-01,3136
2014-08-01,2958
2014-09-01,2948
2014-10-01,2892
2014-11-01,2828
2014-12-01,2799
2015-01-01,2774
2015-02-01,2658
2015-03-01,2542
2015-04-01,2560
2015-05-01,2503
2015-06-01,2162
2015-07-01,2127
2015-08-01,2172
2015-09-01,2097
2015-10-01,2130
2015-11-01,2074
2015-12-01,2127
2016-01-01,2081
2016-02-01,2150
2016-03-01,2231
2016-04-01,2147
2016-05-01,1925
2016-06-01,1986
2016-07-01,1943
2016-08-01,1970
2016-09-01,1933
2016-10-01,1946
2016-11-01,1865
2016-12-01,1860
2017-01-01,1842
2017-02-01,1785
2017-03-01,1691
2017-04-01,1709
2017-05-01,1706
2017-06-01,1669
2017-07-01,1716
2017-08-01,1709
2017-09-01,1700
2017-10-01,1603
2017-11-01,1593
2017-12-01,1506
2018-01-01,1437
2018-02-01,1421
2018-03-01,1352
2018-04-01,1382
2018-05-01,1227
2018-06-01,1425
2018-07-01,1393
2018-08-01,1302
2018-09-01,1354
2018-10-01,1341
2018-11-01,1251
2018-12-01,1302
2019-01-01,1260
2019-02-01,1292
2019-03-01,1324
2019-04-01,1300
2019-05-01,1335
2019-06-01,1381
2019-07-01,1146
2019-08-01,1228
2019-09-01,1297
2019-10-01,1235
2019-11-01,1204
2019-12-01,1177
2020-01-01,1163
2020-02-01,1111
2020-03-01,1188
2020-04-01,1004
2020-05-01,1203
2020-06-01,1358
2020-07-01,1483
2020-08-01,1593
2020-09-01,2405
2020-10-01,3534
2020-11-01,3929
2020-12-01,3956
