DATE,WILL5000PR_NBD20000101
2000-01-01,100.00000
2000-02-01,102.11918
2000-03-01,108.05374
2000-04-01,102.35121
2000-05-01,98.65721
2000-06-01,102.93168
2000-07-01,100.75348
2000-08-01,107.93175
2000-09-01,102.89261
2000-10-01,100.63534
2000-11-01,90.51911
2000-12-01,92.02804
2001-01-01,95.47066
2001-02-01,86.35491
2001-03-01,80.46373
2001-04-01,87.01376
2001-05-01,87.75265
2001-06-01,86.21780
2001-07-01,84.71644
2001-08-01,79.47541
2001-09-01,72.27893
2001-10-01,74.04687
2001-11-01,79.59907
2001-12-01,80.93105
2002-01-01,79.85030
2002-02-01,78.09831
2002-03-01,81.44547
2002-04-01,77.40514
2002-05-01,76.38712
2002-06-01,70.92661
2002-07-01,65.12877
2002-08-01,65.40918
2002-09-01,58.75484
2002-10-01,63.16650
2002-11-01,66.86542
2002-12-01,63.05971
2003-01-01,61.41111
2003-02-01,60.25870
2003-03-01,60.85777
2003-04-01,65.77145
2003-05-01,69.67844
2003-06-01,70.61211
2003-07-01,72.22027
2003-08-01,73.84809
2003-09-01,72.93445
2003-10-01,77.27922
2003-11-01,78.24441
2003-12-01,81.62603
2004-01-01,83.36117
2004-02-01,84.44721
2004-03-01,83.43842
2004-04-01,81.58091
2004-05-01,82.58320
2004-06-01,84.23332
2004-07-01,80.99855
2004-08-01,81.14117
2004-09-01,82.33764
2004-10-01,83.56759
2004-11-01,87.31307
2004-12-01,90.33190
2005-01-01,87.88137
2005-02-01,89.63903
2005-03-01,87.95695
2005-04-01,85.91857
2005-05-01,89.02402
2005-06-01,89.61538
2005-07-01,93.21793
2005-08-01,92.20346
2005-09-01,92.83669
2005-10-01,91.02922
2005-11-01,94.45219
2005-12-01,94.45650
2006-01-01,97.72838
2006-02-01,97.50972
2006-03-01,99.17570
2006-04-01,100.16537
2006-05-01,96.76379
2006-06-01,96.81247
2006-07-01,96.59986
2006-08-01,98.64594
2006-09-01,100.69437
2006-10-01,104.24100
2006-11-01,106.35669
2006-12-01,107.44636
2007-01-01,109.38089
2007-02-01,107.43170
2007-03-01,108.49099
2007-04-01,112.72986
2007-05-01,116.61970
2007-06-01,114.60612
2007-07-01,110.60306
2007-08-01,111.91955
2007-09-01,115.77522
2007-10-01,117.86984
2007-11-01,112.38748
2007-12-01,111.51118
2008-01-01,104.63040
2008-02-01,101.26517
2008-03-01,100.40429
2008-04-01,105.29242
2008-05-01,107.27910
2008-06-01,98.38073
2008-07-01,97.39619
2008-08-01,98.72342
2008-09-01,89.38357
2008-10-01,73.55717
2008-11-01,67.46441
2008-12-01,68.45235
2009-01-01,62.77196
2009-02-01,56.04877
2009-03-01,60.79972
2009-04-01,67.08620
2009-05-01,70.47024
2009-06-01,70.63282
2009-07-01,76.04043
2009-08-01,78.70833
2009-09-01,81.86041
2009-10-01,79.76943
2009-11-01,84.19757
2009-12-01,86.32831
2010-01-01,83.25226
2010-02-01,85.86083
2010-03-01,91.07094
2010-04-01,92.90275
2010-05-01,85.36758
2010-06-01,80.53107
2010-07-01,86.00428
2010-08-01,81.80864
2010-09-01,89.28992
2010-10-01,92.66232
2010-11-01,92.95196
2010-12-01,99.17426
2011-01-01,101.21310
2011-02-01,104.61838
2011-03-01,104.84316
2011-04-01,107.78263
2011-05-01,106.29124
2011-06-01,104.25437
2011-07-01,101.90150
2011-08-01,95.60164
2011-09-01,88.14167
2011-10-01,98.04620
2011-11-01,97.49256
2011-12-01,98.21104
2012-01-01,102.94355
2012-02-01,107.05122
2012-03-01,110.20050
2012-04-01,109.29798
2012-05-01,102.32226
2012-06-01,106.18867
2012-07-01,107.17570
2012-08-01,109.47227
2012-09-01,112.12506
2012-10-01,110.01382
2012-11-01,110.44055
2012-12-01,111.55577
2013-01-01,117.47144
2013-02-01,118.72059
2013-03-01,123.11456
2013-04-01,125.12573
2013-05-01,127.70951
2013-06-01,125.88027
2013-07-01,132.57466
2013-08-01,128.45762
2013-09-01,132.82492
2013-10-01,138.39057
2013-11-01,142.09395
2013-12-01,145.52719
2014-01-01,140.80670
2014-02-01,146.99901
2014-03-01,147.80139
2014-04-01,147.90010
2014-05-01,150.79633
2014-06-01,154.23850
2014-07-01,151.20214
2014-08-01,157.03981
2014-09-01,153.61835
2014-10-01,157.68097
2014-11-01,161.25699
2014-12-01,160.90803
2015-01-01,156.29600
2015-02-01,164.82893
2015-03-01,162.70492
2015-04-01,163.42613
2015-05-01,165.17835
2015-06-01,162.00261
2015-07-01,164.67165
2015-08-01,154.53093
2015-09-01,150.07029
2015-10-01,161.90156
2015-11-01,162.04343
2015-12-01,158.56785
2016-01-01,149.74710
2016-02-01,149.27229
2016-03-01,159.53281
2016-04-01,160.38712
2016-05-01,162.87536
2016-06-01,163.08911
2016-07-01,169.30091
2016-08-01,169.29539
2016-09-01,169.19895
2016-10-01,165.55075
2016-11-01,172.63567
2016-12-01,175.90990
2017-01-01,178.84181
2017-02-01,185.08173
2017-03-01,184.86707
2017-04-01,186.60547
2017-05-01,188.04243
2017-06-01,189.40692
2017-07-01,192.75378
2017-08-01,192.74819
2017-09-01,197.13891
2017-10-01,201.17296
2017-11-01,206.76809
2017-12-01,208.72060
2018-01-01,219.45480
2018-02-01,210.92322
2018-03-01,206.16464
2018-04-01,206.76189
2018-05-01,211.96127
2018-06-01,213.04852
2018-07-01,220.07570
2018-08-01,227.29963
2018-09-01,227.35730
2018-10-01,210.54924
2018-11-01,214.11045
2018-12-01,193.84798
2019-01-01,210.34615
2019-02-01,217.18211
2019-03-01,220.10352
2019-04-01,228.68127
2019-05-01,213.27496
2019-06-01,227.77073
2019-07-01,230.90944
2019-08-01,225.67181
2019-09-01,229.43422
2019-10-01,234.18094
2019-11-01,242.34888
2019-12-01,249.03149
2020-01-01,248.76740
2020-02-01,227.89355
2020-03-01,196.48157
2020-04-01,222.28422
2020-05-01,233.35014
2020-06-01,238.47507
2020-07-01,251.69629
2020-08-01,269.64352
2020-09-01,259.20546
2020-10-01,253.23908
2020-11-01,283.14047
2020-12-01,295.38631
